state,colonies,max colonies,lost colonies,percent lost,added colonies,renovated colonies,percent renovated
Alabama,7000,7000,1800,26,2800,250,4
Arizona,35000,35000,4600,13,3400,2100,6
Arkansas,13000,14000,1500,11,1200,90,1
California,1440000,1690000,255000,15,250000,124000,7
Colorado,3500,12500,1500,12,200,140,1
Connecticut,3900,3900,870,22,290,-,-
Florida,305000,315000,42000,13,54000,25000,8
Georgia,104000,105000,14500,14,47000,9500,9
Hawaii,10500,10500,380,4,3400,760,7
Idaho,81000,88000,3700,4,2600,8000,9
Illinois,6000,10500,4200,40,2300,390,4
Indiana,9000,9500,2100,22,490,120,1
Iowa,12500,17500,3100,18,1700,270,2
Kansas,4600,7000,1600,23,450,70,1
Kentucky,7500,10500,4100,39,250,-,-
Louisiana,51000,51000,8000,16,3100,6500,13
Maine,3100,6500,380,6,20,-,-
Maryland,7500,10000,4100,41,1600,870,9
Massachusetts,2900,4600,1000,22,260,120,3
Michigan,16500,60000,11500,19,7500,2400,4
Minnesota,28000,74000,3700,5,690,530,1
Mississippi,34000,76000,8500,11,22000,7500,10
Missouri,12000,13000,2000,15,220,910,7
Montana,8500,36000,2200,6,1400,1100,3
Nebraska,10000,31000,2600,8,120,310,1
New Jersey,6000,9000,1100,12,570,1600,18
New Mexico,7000,7000,690,10,190,600,9
New York,27000,30000,6500,22,430,950,3
North Carolina,24000,26000,7000,27,6000,690,3
North Dakota,57000,120000,620,1,1800,530,(Z)
Ohio,18000,22000,10500,48,5000,3300,15
Oklahoma,9500,26000,6000,23,2600,260,1
Oregon,77000,87000,6500,8,4300,2400,3
Pennsylvania,14000,21000,6500,31,360,-,-
South Carolina,17000,17500,2700,15,2700,1400,8
South Dakota,50000,97000,4600,5,8500,2800,3
Tennessee,9500,9500,2000,21,1000,190,2
Texas,191000,250000,26000,10,82000,51000,20
Utah,6000,24000,3300,14,2500,290,1
Vermont,5500,5500,700,13,1200,20,(Z)
Virginia,8000,9000,2500,28,800,460,5
Washington,52000,105000,14000,13,13500,9000,9
West Virginia,4700,6000,1800,30,570,60,1
Wisconsin,16500,29000,8000,28,3100,2500,9
Wyoming,5500,12000,2000,17,2000,1400,12
Alabama,7500,7500,860,12,1900,680,9
Arizona,33000,33000,5500,17,19500,7000,21
Arkansas,13500,13500,1900,14,11500,5500,41
California,1040000,1050000,104000,10,170000,285000,27
Colorado,12000,25000,1900,8,6000,3500,14
Connecticut,3000,3000,80,3,1100,150,5
Florida,210000,215000,35000,16,44000,24000,11
Georgia,114000,124000,23000,19,25000,19000,15
Hawaii,13500,13500,120,1,1100,1200,9
Idaho,62000,72000,6500,9,16500,10500,15
Illinois,9500,9500,1300,14,6000,1500,16
Indiana,8000,12500,1300,10,4900,4300,34
Iowa,12500,24000,1400,6,6500,3100,13
Kansas,6000,7000,670,10,2800,420,6
Kentucky,7500,8500,980,12,3600,1500,18
Louisiana,44000,45000,1800,4,6500,8000,18
Maine,4600,30000,3200,11,3500,700,2
Maryland,8000,11000,370,3,2600,710,7
Massachusetts,4100,14000,320,2,940,510,4
Michigan,58000,88000,9500,11,13500,5500,6
Minnesota,71000,125000,12500,10,20000,21000,17
Mississippi,89000,89000,11000,12,5500,10000,11
Missouri,11500,12500,500,4,1900,1800,14
Montana,36000,210000,4200,2,14000,33000,16
Nebraska,29000,68000,4100,6,15500,4600,7
New Jersey,8500,19000,1800,10,2100,2900,15
New Mexico,6500,8500,1000,12,1500,330,4
New York,24000,34000,1100,3,11000,1500,4
North Carolina,19500,23000,1800,8,5500,3300,14
North Dakota,121000,450000,29000,6,39000,61000,14
Ohio,17500,19000,2100,11,10000,6000,32
Oklahoma,25000,27000,2200,8,5500,2200,8
Oregon,82000,95000,5500,6,14500,9500,10
Pennsylvania,15500,19000,1600,8,8500,2600,14
South Carolina,17500,18500,950,5,1100,2000,11
South Dakota,100000,290000,21000,7,27000,23000,8
Tennessee,7500,7500,730,10,3600,920,12
Texas,305000,315000,33000,11,76000,94000,30
Utah,24000,27000,3400,13,10000,3900,14
Vermont,6000,6000,100,2,580,50,1
Virginia,7500,7500,270,4,2100,430,6
Washington,105000,127000,5000,4,15000,13000,10
West Virginia,4700,4700,570,12,2900,590,13
Wisconsin,25000,65000,4600,7,10000,5500,9
Wyoming,12000,25000,3200,13,7500,5000,20
Alabama,8500,9000,1400,16,160,260,3
Arizona,40000,40000,6000,15,4300,15500,39
Arkansas,23000,30000,9000,30,500,210,1
California,730000,800000,76000,10,40000,93000,12
Colorado,29000,30000,4500,15,1400,1400,5
Connecticut,3700,3700,50,1,190,440,12
Florida,164000,220000,36000,16,37000,29000,13
Georgia,108000,110000,13000,12,19500,15500,14
Hawaii,14500,14500,2700,19,1200,5500,38
Idaho,80000,128000,14000,11,5500,11500,9
Illinois,14000,14000,1400,10,1300,1100,8
Indiana,15000,15000,1600,11,1400,420,3
Iowa,29000,37000,3000,8,640,680,2
Kansas,9000,9500,1000,11,100,160,2
Kentucky,10000,10000,1300,13,170,550,6
Louisiana,50000,55000,2000,4,2300,1800,3
Maine,6000,6000,450,8,410,140,2
Maryland,7000,7500,680,9,730,70,1
Massachusetts,7500,7500,560,8,290,400,5
Michigan,89000,89000,7000,8,3300,3800,4
Minnesota,133000,136000,32000,24,640,2300,2
Mississippi,23000,34000,3500,10,260,110,(Z)
Missouri,14000,14000,1200,9,700,630,5
Montana,140000,156000,10500,7,3200,10000,6
Nebraska,67000,77000,6000,8,500,6000,8
New Jersey,18500,18500,210,1,190,500,3
New Mexico,6500,6500,1600,25,1300,650,10
New York,44000,47000,6500,14,4400,7000,15
North Carolina,24000,24000,2900,12,2500,1100,5
North Dakota,460000,500000,93000,19,11000,22000,4
Ohio,23000,23000,1900,8,2300,880,4
Oklahoma,19500,22000,230,1,160,190,1
Oregon,68000,100000,8500,9,8000,21000,21
Pennsylvania,25000,25000,1800,7,1800,2400,10
South Carolina,12000,12000,2000,17,880,580,5
South Dakota,295000,295000,53000,18,2100,13000,4
Tennessee,10000,10000,1200,12,500,350,4
Texas,76000,136000,16500,12,5500,4800,4
Utah,31000,36000,8000,22,1400,2200,6
Vermont,6000,6500,40,1,30,20,(Z)
Virginia,8000,8000,680,9,520,220,3
Washington,84000,97000,11500,12,1800,20000,21
West Virginia,7000,7000,300,4,300,270,4
Wisconsin,60000,62000,9000,15,1300,4300,7
Wyoming,29000,35000,2500,7,270,440,1
Alabama,8000,8000,610,8,80,60,1
Arizona,36000,39000,12000,31,3000,16000,41
Arkansas,23000,27000,2400,9,1900,-,-
California,750000,1260000,149000,12,39000,75000,6
Colorado,24000,24000,2500,10,3400,-,-
Connecticut,3200,3200,210,7,40,70,2
Florida,220000,260000,37000,14,30000,28000,11
Georgia,110000,121000,18000,15,4400,1900,2
Hawaii,13000,13000,690,5,2700,760,6
Idaho,121000,145000,22000,15,5500,5500,4
Illinois,14000,14000,690,5,-,30,(Z)
Indiana,11500,11500,1100,10,140,-,-
Iowa,35000,35000,4300,12,40,30,(Z)
Kansas,8500,8500,3400,40,50,20,(Z)
Kentucky,8500,8500,1100,13,20,10,(Z)
Louisiana,55000,71000,4900,7,1100,2400,3
Maine,4700,4700,60,1,530,20,(Z)
Maryland,7500,9500,730,8,-,-,-
Massachusetts,4500,4500,260,6,30,30,1
Michigan,67000,73000,9000,12,210,1600,2
Minnesota,104000,105000,10000,10,600,40,(Z)
Mississippi,31000,34000,1500,4,500,230,1
Missouri,13500,13500,690,5,30,40,(Z)
Montana,116000,123000,10000,8,1000,80,(Z)
Nebraska,72000,73000,7000,10,10,5500,8
New Jersey,8000,8500,270,3,20,10,(Z)
New Mexico,6000,6000,290,5,290,30,1
New York,45000,45000,4000,9,260,10,(Z)
North Carolina,22000,22000,2200,10,510,70,(Z)
North Dakota,230000,275000,35000,13,2700,9000,3
Ohio,19000,19000,2400,13,200,140,1
Oklahoma,5000,10000,650,7,290,60,1
Oregon,100000,114000,8500,8,200,1400,1
Pennsylvania,22000,23000,2500,11,1300,6500,28
South Carolina,10000,17500,2200,13,640,1000,6
South Dakota,194000,205000,9000,4,2400,-,-
Tennessee,8500,10000,1100,11,70,420,4
Texas,125000,250000,25000,10,13000,2000,1
Utah,28000,28000,1900,7,120,100,(Z)
Vermont,6500,6500,940,15,10,10,(Z)
Virginia,7500,7500,750,10,-,350,5
Washington,87000,89000,6500,7,330,170,(Z)
West Virginia,7000,7000,610,9,190,140,2
Wisconsin,48000,48000,6500,14,210,10,(Z)
Wyoming,24000,25000,1300,5,30,-,-